,all_businesses,food,nightlife,shopping,fitness,selfcare,auto,home,health,geoid,population_total,population_total_male,population_total_female,population_total_under_18,population_total_18_to_65,population_total_65_and_over,population_male_under_18,population_female_under_18,population_male_18_to_64,population_female_18_to_64,population_male_65_and_over,population_female_65_and_over,population_total_white,population_total_non_white,median_income,area_mi2,population_density,food_predicted,food_error,auto_predicted,auto_error,nightlife_predicted,nightlife_error,shopping_predicted,shopping_error,fitness_predicted,fitness_error,selfcare_predicted,selfcare_error,home_predicted,home_error,health_predicted,health_error,geographic_area_name
2454,1,1,0,0,0,0,0,0,0,42003270400,1001,467,534,111,777,113,31,80,375,402,61,52,540,489,26125,0.153211514,6533.4515200000005,3.208,2.208,0.455,0.455,-0.639,-0.639,-1.281,-1.281,-0.105,-0.105,0.214,0.214,-0.22699999999999998,-0.22699999999999998,-0.978,-0.978,"Census Tract 2704, Allegheny County, Pennsylvania"
2455,9,3,2,2,2,1,0,3,0,42003270800,2471,1272,1199,354,1521,596,200,154,787,734,285,311,1896,628,30488,0.49065630600000004,5036.11177,7.638999999999999,4.638999999999999,2.299,2.299,0.41600000000000004,-1.584,0.889,-1.111,0.971,-1.0290000000000001,1.13,0.13,1.016,-1.984,0.418,0.418,"Census Tract 2708, Allegheny County, Pennsylvania"
2456,9,6,1,1,0,0,0,1,0,42003271500,3066,1373,1693,897,1727,442,538,359,643,1084,192,250,1400,1852,24549,0.538149961,5697.296708,4.14,-1.86,1.321,1.321,0.953,-0.047,2.271,1.271,0.52,0.52,0.494,0.494,-0.894,-1.8940000000000001,-0.6659999999999999,-0.6659999999999999,"Census Tract 2715, Allegheny County, Pennsylvania"
2457,5,1,0,1,0,1,1,1,1,42003281400,2636,1145,1491,777,1518,341,320,457,675,843,150,191,1289,1514,19867,0.513115869,5137.241234,3.339,2.339,1.556,0.556,-1.1909999999999998,-1.1909999999999998,-0.098,-1.0979999999999999,0.396,0.396,-0.264,-1.264,0.349,-0.6509999999999999,0.162,-0.838,"Census Tract 2814, Allegheny County, Pennsylvania"
2458,1,1,1,0,0,0,0,0,0,42003281500,1494,679,815,265,1007,222,118,147,473,534,88,134,1207,333,30436,0.23826595899999997,6270.304027,4.018,3.0180000000000002,0.051,0.051,-1.207,-2.207,-0.8759999999999999,-0.8759999999999999,0.027000000000000003,0.027000000000000003,0.499,0.499,-0.503,-0.503,-1.127,-1.127,"Census Tract 2815, Allegheny County, Pennsylvania"
2459,22,10,1,6,1,3,1,2,0,42003290100,2129,975,1154,531,1342,256,225,306,623,719,127,129,1559,652,23418,0.489090276,4352.979611,6.707000000000001,-3.293,2.753,1.7530000000000001,5.1770000000000005,4.177,3.352,-2.648,1.7719999999999998,0.772,1.3880000000000001,-1.6119999999999999,1.192,-0.8079999999999999,1.271,1.271,"Census Tract 2901, Allegheny County, Pennsylvania"
2460,7,5,0,0,0,0,0,2,0,42003290200,4392,2192,2200,978,2768,646,538,440,1333,1435,321,325,3283,1135,25492,0.561351612,7823.973261,6.669,1.669,1.399,1.399,-1.5390000000000001,-1.5390000000000001,0.037000000000000005,0.037000000000000005,0.226,0.226,0.376,0.376,-0.327,-2.327,-1.541,-1.541,"Census Tract 2902, Allegheny County, Pennsylvania"
2461,15,9,1,6,2,0,1,0,0,42003290400,4301,2332,1969,1019,2661,621,677,342,1365,1296,290,331,3305,1133,24977,0.619264619,6945.334626000001,8.875,-0.125,2.17,1.17,3.15,2.15,2.365,-3.635,0.643,-1.357,1.663,1.663,1.88,1.88,-0.9840000000000001,-0.9840000000000001,"Census Tract 2904, Allegheny County, Pennsylvania"
2462,6,2,0,0,0,0,0,4,0,42003300100,3709,1705,2004,1058,2222,429,530,528,974,1248,201,228,1411,2574,19285,0.29947782300000003,12384.89036,3.79,1.79,2.5989999999999998,2.5989999999999998,-2.333,-2.333,0.65,0.65,-0.174,-0.174,0.491,0.491,-0.049,-4.0489999999999995,-0.475,-0.475,"Census Tract 3001, Allegheny County, Pennsylvania"
2463,9,5,1,5,1,1,2,1,0,42003310200,3381,1727,1654,669,2047,665,394,275,1107,940,226,439,3381,0,28429,0.9814539259999999,3444.889168,8.195,3.195,2.318,0.318,-0.066,-1.0659999999999998,1.806,-3.194,0.799,-0.201,1.024,0.024,0.898,-0.102,-0.294,-0.294,"Census Tract 3102, Allegheny County, Pennsylvania"
