,all_businesses,food,nightlife,shopping,fitness,selfcare,auto,home,health,geoid,population_total,population_total_male,population_total_female,population_total_under_18,population_total_18_to_65,population_total_65_and_over,population_male_under_18,population_female_under_18,population_male_18_to_64,population_female_18_to_64,population_male_65_and_over,population_female_65_and_over,population_total_white,population_total_non_white,median_income,area_mi2,population_density,food_predicted,food_error,auto_predicted,auto_error,nightlife_predicted,nightlife_error,shopping_predicted,shopping_error,fitness_predicted,fitness_error,selfcare_predicted,selfcare_error,home_predicted,home_error,health_predicted,health_error,geographic_area_name
1154,130,35,17,15,20,5,19,33,5,32003003616,4038,1876,2162,898,2485,655,391,507,1251,1234,234,421,2042,2127,20580,3.37633133,1195.972671,31.184,-3.8160000000000003,24.726,5.726,20.410999999999998,3.411,30.873,15.873,13.04,-6.96,11.812999999999999,6.813,26.273000000000003,-6.727,11.797,6.797000000000001,"Census Tract 36.16, Clark County, Nevada"
1155,2,0,0,1,0,0,0,0,0,32003003617,1476,776,700,324,1015,137,159,165,593,422,24,113,543,980,22287,0.517154112,2854.081534,2.81,2.81,1.507,1.507,-0.528,-0.528,-1.22,-2.22,-0.207,-0.207,-0.6759999999999999,-0.6759999999999999,0.146,0.146,0.102,0.102,"Census Tract 36.17, Clark County, Nevada"
1156,66,25,5,21,8,10,9,7,6,32003003618,9192,4513,4679,2506,5932,754,1290,1216,2919,3013,304,450,5181,4783,36563,2.233522608,4115.472109,21.899,-3.1010000000000004,8.772,-0.228,13.155999999999999,8.156,15.097000000000001,-5.903,4.895,-3.105,10.021,0.021,14.924000000000001,7.9239999999999995,11.075999999999999,5.0760000000000005,"Census Tract 36.18, Clark County, Nevada"
1157,13,2,0,4,3,2,3,4,3,32003003619,4196,2201,1995,1171,2528,497,654,517,1273,1255,274,223,1939,2510,54226,0.6524790570000001,6430.857749,4.024,2.024,2.125,-0.875,0.348,0.348,2.2030000000000003,-1.797,1.008,-1.992,4.458,2.458,7.032,3.032,2.844,-0.156,"Census Tract 36.19, Clark County, Nevada"
1158,69,26,5,13,8,6,8,10,6,32003003620,5822,3010,2812,1743,3593,486,930,813,1776,1817,304,182,3468,2810,40037,0.906396825,6423.235209,14.568,-11.432,8.873,0.873,15.767000000000001,10.767000000000001,14.845,1.845,5.222,-2.778,8.591000000000001,2.591,13.769,3.7689999999999997,8.252,2.252,"Census Tract 36.20, Clark County, Nevada"
1159,1,0,0,0,1,0,0,0,0,32003003621,3088,1338,1750,16,924,2148,16,0,396,528,926,1222,2477,674,28265,0.790800155,3904.9056570000002,3.0860000000000003,3.0860000000000003,1.421,1.421,-0.956,-0.956,1.672,1.672,-0.38799999999999996,-1.3880000000000001,0.13,0.13,-0.022000000000000002,-0.022000000000000002,2.536,2.536,"Census Tract 36.21, Clark County, Nevada"
1160,36,8,3,16,6,2,5,4,5,32003003622,7869,3934,3935,2359,4941,569,1300,1059,2491,2450,143,426,4409,3791,38297,2.369498136,3320.9564,16.859,8.859,6.561,1.561,2.156,-0.8440000000000001,6.352,-9.648,2.583,-3.417,5.857,3.8569999999999998,9.068,5.0680000000000005,3.955,-1.045,"Census Tract 36.22, Clark County, Nevada"
1161,61,29,14,9,5,10,4,7,6,32003003623,6165,2947,3218,2296,3488,381,1201,1095,1575,1913,171,210,2818,4004,30126,10.18162589,605.5025068,18.467,-10.533,6.57,2.57,17.844,3.844,15.95,6.95,4.619,-0.381,6.849,-3.1510000000000002,5.216,-1.784,8.767999999999999,2.7680000000000002,"Census Tract 36.23, Clark County, Nevada"
1162,44,18,4,10,2,6,7,11,1,32003003624,7065,3506,3559,2227,4399,439,955,1272,2291,2108,260,179,2872,4800,29000,1.025055285,6892.311181,10.95,-7.05,7.143,0.14300000000000002,8.877,4.877,9.267999999999999,-0.732,3.0069999999999997,1.0070000000000001,4.865,-1.135,9.046,-1.954,5.22,4.22,"Census Tract 36.24, Clark County, Nevada"
1163,7,1,1,0,0,1,1,3,0,32003003625,8931,4779,4152,3176,5316,439,1996,1180,2633,2683,150,289,4337,5221,27061,0.991511115,9007.463317,6.415,5.415,2.998,1.9980000000000002,-4.415,-5.415,2.6069999999999998,2.6069999999999998,-0.16899999999999998,-0.16899999999999998,0.597,-0.40299999999999997,0.787,-2.213,-0.32,-0.32,"Census Tract 36.25, Clark County, Nevada"
1164,140,38,9,24,9,3,33,42,1,32003003626,4142,2145,1997,1184,2629,329,613,571,1388,1241,144,185,2198,2269,32067,3.101899954,1335.310636,20.908,-17.092,25.88,-7.12,14.105,5.105,36.187,12.187000000000001,14.222999999999999,5.223,9.472000000000001,6.472,31.982,-10.017999999999999,7.495,6.495,"Census Tract 36.26, Clark County, Nevada"
1165,27,12,2,7,4,3,1,3,2,32003003627,4817,2449,2368,1035,3349,433,493,542,1753,1596,203,230,1984,2942,31303,0.604974592,7962.317864,12.780999999999999,0.7809999999999999,3.802,2.802,6.027,4.027,3.08,-3.92,1.165,-2.835,3.741,0.741,5.348,2.3480000000000003,3.679,1.679,"Census Tract 36.27, Clark County, Nevada"
1166,24,3,4,2,8,0,7,5,1,32003003628,10257,4777,5480,3213,6070,974,1473,1740,2848,3222,456,518,5494,5983,30733,9.794763497,1047.192207,8.969,5.968999999999999,5.356,-1.6440000000000001,1.642,-2.358,6.079,4.079,2.758,-5.242000000000001,3.0980000000000003,3.0980000000000003,12.699000000000002,7.699,5.922000000000001,4.922,"Census Tract 36.28, Clark County, Nevada"
1167,54,19,7,10,5,11,8,5,10,32003003629,7325,3242,4083,2229,4386,710,1057,1172,1926,2460,259,451,4338,3760,32106,0.93445178,7838.820745999999,16.293,-2.707,5.359,-2.641,8.293,1.2930000000000001,13.790999999999999,3.7910000000000004,3.6719999999999997,-1.328,8.7,-2.3,10.364,5.364,10.936,0.9359999999999999,"Census Tract 36.29, Clark County, Nevada"
1168,23,3,2,4,0,3,5,3,1,32003003630,6400,3054,3346,1336,4224,840,583,753,2060,2164,411,429,4220,2385,30136,1.038700521,6161.544997,11.353,8.353,2.194,-2.806,-3.4960000000000004,-5.496,1.24,-2.76,1.848,1.848,1.712,-1.288,4.921,1.921,2.25,1.25,"Census Tract 36.30, Clark County, Nevada"
1169,47,16,5,9,3,12,6,3,5,32003003631,3730,1730,2000,1031,2226,473,467,564,1038,1188,225,248,1789,2265,29417,0.5076332179999999,7347.824895999999,12.03,-3.97,4.183,-1.817,10.027000000000001,5.027,10.202,1.202,3.284,0.284,5.537000000000001,-6.462999999999999,7.337999999999999,4.338,9.583,4.583,"Census Tract 36.31, Clark County, Nevada"
1170,56,21,9,6,4,11,12,3,4,32003003632,3112,1587,1525,868,1797,447,491,377,878,919,218,229,1908,1400,31394,0.512210073,6075.632171,14.229000000000001,-6.771,3.725,-8.275,12.568,3.568,14.762,8.762,4.644,0.644,6.4,-4.6,11.057,8.057,8.743,4.743,"Census Tract 36.32, Clark County, Nevada"
1171,39,16,3,5,1,4,4,4,4,32003003633,3701,1947,1754,1129,2070,502,699,430,1012,1058,236,266,2365,1508,27055,0.516918975,7159.729429000001,7.709,-8.291,3.7680000000000002,-0.23199999999999998,6.058,3.0580000000000003,7.412000000000001,2.412,2.0580000000000003,1.058,3.279,-0.721,3.7030000000000003,-0.297,4.202,0.20199999999999999,"Census Tract 36.33, Clark County, Nevada"
1172,36,3,2,3,2,2,3,27,1,32003003634,4728,2257,2471,1388,2826,514,696,692,1335,1491,226,288,2486,2622,27627,0.5246896670000001,9011.040801000001,6.627999999999999,3.628,14.448,11.448,-4.8069999999999995,-6.807,6.401,3.4010000000000002,3.207,1.207,2.1830000000000003,0.183,4.633,-22.366999999999997,4.645,3.645,"Census Tract 36.34, Clark County, Nevada"
1173,4,0,0,0,1,0,0,2,0,32003003635,6278,2924,3354,1648,3857,773,785,863,1797,2060,342,431,2974,3798,30883,0.590445954,10632.64124,6.075,6.075,1.4909999999999999,1.4909999999999999,-3.565,-3.565,-0.5589999999999999,-0.5589999999999999,-0.563,-1.5630000000000002,1.1640000000000001,1.1640000000000001,2.3080000000000003,0.308,2.209,2.209,"Census Tract 36.35, Clark County, Nevada"
1174,2,0,0,0,1,0,0,1,0,32003003636,2752,1327,1425,653,1722,377,386,267,756,966,185,192,1931,929,31782,0.428993475,6415.015984000001,4.0760000000000005,4.0760000000000005,1.22,1.22,-1.5530000000000002,-1.5530000000000002,-0.192,-0.192,-0.261,-1.261,0.665,0.665,1.514,0.514,1.05,1.05,"Census Tract 36.36, Clark County, Nevada"
1175,28,12,1,5,2,3,6,3,0,32003003637,5174,2213,2961,1589,3186,399,676,913,1385,1801,152,247,2563,2777,30177,0.52362557,9881.106459999999,6.867000000000001,-5.132999999999999,2.863,-3.137,4.189,3.1889999999999996,7.79,2.79,1.175,-0.825,2.545,-0.455,6.821000000000001,3.821,3.927,3.927,"Census Tract 36.37, Clark County, Nevada"
1176,1,1,1,0,1,0,0,0,0,32003003638,3289,1651,1638,1082,1968,239,545,537,979,989,127,112,1670,1801,32994,0.536335281,6132.3580950000005,3.7319999999999998,2.7319999999999998,0.6829999999999999,0.6829999999999999,0.318,-0.682,-0.542,-0.542,-0.564,-1.564,0.794,0.794,1.403,1.403,0.26,0.26,"Census Tract 36.38, Clark County, Nevada"
1177,21,8,2,2,0,2,3,7,1,32003003639,4671,2511,2160,1407,2827,437,862,545,1458,1369,191,246,2481,2581,25910,0.537613279,8688.401467,6.332000000000001,-1.6680000000000001,4.412,1.412,1.124,-0.8759999999999999,4.535,2.535,0.89,0.89,1.183,-0.8170000000000001,3.034,-3.966,2.7239999999999998,1.724,"Census Tract 36.39, Clark County, Nevada"
1178,152,52,12,41,12,15,15,19,21,32003003640,4517,2456,2061,1379,2813,325,872,507,1443,1370,141,184,2530,2311,32102,1.5629006109999999,2890.138994,32.255,-19.745,18.397000000000002,3.397,30.275,18.275,31.094,-9.906,11.76,-0.24,19.006,4.006,21.748,2.748,13.825,-7.175,"Census Tract 36.40, Clark County, Nevada"
1179,36,16,4,8,5,5,3,5,2,32003003641,6052,2866,3186,1696,3785,571,903,793,1671,2114,292,279,2688,3691,26568,1.062866655,5694.035061,13.565999999999999,-2.434,5.754,2.7539999999999996,8.37,4.37,8.618,0.618,2.395,-2.605,4.09,-0.91,6.439,1.439,5.462000000000001,3.4619999999999997,"Census Tract 36.41, Clark County, Nevada"
1180,19,3,0,4,1,0,2,10,0,32003003642,4056,2055,2001,1140,2592,324,632,508,1274,1318,149,175,2060,2062,33636,1.011254063,4010.861511,6.316,3.3160000000000003,6.199,4.199,-2.467,-2.467,2.448,-1.5519999999999998,1.78,0.78,0.895,0.895,2.965,-7.035,0.904,0.904,"Census Tract 36.42, Clark County, Nevada"
1181,18,5,0,1,0,2,2,5,2,32003003643,5335,2458,2877,1484,3350,501,778,706,1419,1931,261,240,2403,3215,31734,0.5009250789999999,10650.295259999999,6.28,1.28,2.657,0.657,-2.04,-2.04,2.91,1.91,0.363,0.363,2.024,0.024,3.292,-1.7080000000000002,2.784,0.784,"Census Tract 36.43, Clark County, Nevada"
1182,21,12,1,5,0,3,3,3,1,32003003644,5452,2618,2834,1614,3250,588,795,819,1491,1759,332,256,2941,2657,26135,0.501087628,10880.33248,6.86,-5.14,2.5660000000000003,-0.434,3.948,2.948,4.532,-0.46799999999999997,0.19,0.19,2.279,-0.721,3.367,0.36700000000000005,1.534,0.534,"Census Tract 36.44, Clark County, Nevada"
